fid,profile_id,orientation,notes,distance,angle,dsm_1,floor_1,height_1
1,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0,5.3792219879707,6.25770950317383,6.20599508285522,
2,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.1,5.3792219879707,6.24413156509399,6.20592784881592,
3,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.2,5.3792219879707,6.2332968711853,6.20544338226318,
4,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.3,5.3792219879707,6.23284101486206,6.20537662506104,
5,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.4,5.3792219879707,6.23726654052734,6.20489168167114,
6,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.5,5.3792219879707,6.2449049949646,6.20440721511841,
7,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.6,5.3792219879707,6.24787712097168,6.20434045791626,
8,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.7,5.3792219879707,6.25073194503784,6.20385551452637,
9,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.8,5.3792219879707,6.25788545608521,6.20378875732422,0.0540966987609863
10,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",0.9,5.3792219879707,6.26812267303467,6.20330429077148,0.0648183822631836
11,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1,5.3792219879707,6.28473424911499,6.20323705673218,0.0814971923828125
12,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.1,5.3792219879707,6.30559873580933,6.20275259017944,0.102846145629883
13,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.2,5.3792219879707,6.32738399505615,6.20268583297729,0.124698162078857
14,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.3,5.3792219879707,6.35607051849365,6.2022008895874,0.15386962890625
15,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.4,5.3792219879707,6.38358306884766,6.20213413238525,0.181448936462402
16,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.5,5.3792219879707,6.41382217407227,6.20164966583252,0.212172508239746
17,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.6,5.3792219879707,6.44754457473755,6.20158243179321,0.245962142944336
18,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.7,5.3792219879707,6.48967266082764,6.20109796524048,0.288574695587158
19,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.8,5.3792219879707,6.54575347900391,6.20103073120117,0.344722747802734
20,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",1.9,5.3792219879707,6.62601375579834,6.20054626464844,0.425467491149902
21,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2,5.3792219879707,6.67073059082031,6.20047950744629,0.470251083374023
22,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.1,5.3792219879707,6.72009038925171,6.1999945640564,0.520095825195312
23,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.2,5.3792219879707,6.78721332550049,6.19951009750366,0.587703227996826
24,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.3,5.3792219879707,6.84697437286377,6.19944334030151,0.647531032562256
25,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.4,5.3792219879707,6.89758825302124,6.19895839691162,0.698629856109619
26,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.5,5.3792219879707,6.94270467758179,6.19889163970947,0.743813037872314
27,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.6,5.3792219879707,7.01160001754761,6.19840717315674,0.813192844390869
28,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.7,5.3792219879707,7.06394720077515,6.19833993911743,0.865607261657715
29,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.8,5.3792219879707,7.12105846405029,6.1978554725647,0.923202991485596
30,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",2.9,5.3792219879707,7.16348266601562,6.19778871536255,0.965693950653076
31,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3,5.3792219879707,7.21713733673096,6.19730377197266,1.0198335647583
32,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.1,5.3792219879707,7.28446674346924,6.19723701477051,1.08722972869873
33,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.2,5.3792219879707,7.34694576263428,6.19675254821777,1.1501932144165
34,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.3,5.3792219879707,7.40732765197754,6.19668531417847,1.21064233779907
35,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.4,5.3792219879707,7.47303104400635,6.19620084762573,1.27683019638062
36,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.5,5.3792219879707,7.5274977684021,6.19613361358643,1.33136415481567
37,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.6,5.3792219879707,7.57326793670654,6.19564914703369,1.37761878967285
38,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.7,5.3792219879707,7.63088274002075,6.19516468048096,1.43571805953979
39,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.8,5.3792219879707,7.68317937850952,6.19509744644165,1.48808193206787
40,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",3.9,5.3792219879707,7.76904582977295,6.19461297988892,1.57443284988403
41,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4,5.3792219879707,7.82235717773438,6.19454622268677,1.62781095504761
42,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.1,5.3792219879707,7.86392116546631,6.19415855407715,1.66976261138916
43,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.2,5.3792219879707,7.91744947433472,6.19409132003784,1.72335815429688
44,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.3,5.3792219879707,7.98441743850708,6.19360685348511,1.79081058502197
45,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.4,5.3792219879707,8.04833889007568,6.19354009628296,1.85479879379272
46,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.5,5.3792219879707,8.11543941497803,6.19305515289307,1.92238426208496
47,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.6,5.3792219879707,8.16236782073975,6.19298839569092,1.96937942504883
48,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.7,5.3792219879707,8.21738338470459,6.19250392913818,2.02487945556641
49,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.8,5.3792219879707,8.26500606536865,6.19243669509888,2.07256937026978
50,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",4.9,5.3792219879707,8.29148483276367,6.19195222854614,2.09953260421753
51,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5,5.3792219879707,8.31014442443848,6.19188499450684,2.11825942993164
52,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.1,5.3792219879707,8.32830238342285,6.1914005279541,2.13690185546875
53,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.2,5.3792219879707,8.34026908874512,6.19133377075195,2.14893531799316
54,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.3,5.3792219879707,8.37530994415283,6.19084882736206,2.18446111679077
55,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.4,5.3792219879707,8.41590118408203,6.19036436080933,2.22553682327271
56,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.5,5.3792219879707,8.45156478881836,6.19029760360718,2.26126718521118
57,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.6,5.3792219879707,8.4921178817749,6.18981266021729,2.30230522155762
58,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.7,5.3792219879707,8.53180313110352,6.18974590301514,2.34205722808838
59,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.8,5.3792219879707,8.57945728302002,6.1892614364624,2.39019584655762
60,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.9,5.3792219879707,8.62477016448975,6.1891942024231,2.43557596206665
61,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",5.99999999999999,5.3792219879707,8.6744556427002,6.18870973587036,2.48574590682983
62,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.09999999999999,5.3792219879707,8.70602607727051,6.18864297866821,2.51738309860229
63,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.19999999999999,5.3792219879707,8.73164558410645,6.18815803527832,2.54348754882812
64,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.29999999999999,5.3792219879707,8.76083183288574,6.18809127807617,2.57274055480957
65,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.39999999999999,5.3792219879707,8.79025173187256,6.18760681152344,2.60264492034912
66,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.49999999999999,5.3792219879707,8.80172538757324,6.18753957748413,2.61418581008911
67,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.59999999999999,5.3792219879707,8.8163480758667,6.1870551109314,2.6292929649353
68,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.69999999999999,5.3792219879707,8.86347007751465,6.18698787689209,2.67648220062256
69,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.79999999999999,5.3792219879707,8.89697551727295,6.18650341033936,2.71047210693359
70,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.89999999999999,5.3792219879707,8.95460987091064,6.18601894378662,2.76859092712402
71,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",6.99999999999999,5.3792219879707,8.99008941650391,6.18595170974731,2.80413770675659
72,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.09999999999999,5.3792219879707,9.02475070953369,6.18546724319458,2.83928346633911
73,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.19999999999999,5.3792219879707,9.04365253448486,6.18540048599243,2.85825204849243
74,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.29999999999999,5.3792219879707,9.06132221221924,6.18491554260254,2.8764066696167
75,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.39999999999999,5.3792219879707,9.07041454315186,6.18484878540039,2.88556575775146
76,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.49999999999999,5.3792219879707,9.07149124145508,6.18436431884766,2.88712692260742
77,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.59999999999999,5.3792219879707,9.06424140930176,6.18429708480835,2.87994432449341
78,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.69999999999999,5.3792219879707,9.05727195739746,6.18381261825562,2.87345933914185
79,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.79999999999999,5.3792219879707,9.02806663513184,6.18374586105347,2.84432077407837
80,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.89999999999999,5.3792219879707,8.99579238891602,6.18326091766357,2.81253147125244
81,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",7.99999999999999,5.3792219879707,8.96377754211426,6.18319416046143,2.78058338165283
82,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.09999999999999,5.3792219879707,8.9037618637085,6.18270969390869,2.7210521697998
83,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.19999999999999,5.3792219879707,8.84967994689941,6.18264245986938,2.66703748703003
84,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.29999999999999,5.3792219879707,8.80595397949219,6.18215799331665,2.62379598617554
85,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.39999999999999,5.3792219879707,8.76083564758301,6.18209075927734,2.57874488830566
86,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.49999999999999,5.3792219879707,8.69898891448975,6.18160629272461,2.51738262176514
87,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.59999999999999,5.3792219879707,8.66511154174805,6.18112182617188,2.48398971557617
88,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.69999999999999,5.3792219879707,8.61472606658936,6.18115186691284,2.43357419967651
89,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.79999999999998,5.3792219879707,8.58499526977539,6.18066692352295,2.40432834625244
90,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.89999999999998,5.3792219879707,8.5353946685791,6.1806001663208,2.3547945022583
91,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",8.99999999999998,5.3792219879707,8.47436714172363,6.18011569976807,2.29425144195557
92,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.09999999999998,5.3792219879707,8.41169261932373,6.18004846572876,2.23164415359497
93,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.19999999999998,5.3792219879707,8.36976337432861,6.17956399917603,2.19019937515259
94,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.29999999999998,5.3792219879707,8.32479476928711,6.17949724197388,2.14529752731323
95,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.39999999999998,5.3792219879707,8.25503730773926,6.17901229858398,2.07602500915527
96,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.49999999999998,5.3792219879707,8.20718574523926,6.17894554138184,2.02824020385742
97,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.59999999999998,5.3792219879707,8.16356182098389,6.1784610748291,1.98510074615479
98,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.69999999999998,5.3792219879707,8.11934947967529,6.17839384078979,1.9409556388855
99,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.79999999999998,5.3792219879707,8.06452751159668,6.17790937423706,1.88661813735962
100,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.89999999999998,5.3792219879707,8.00605010986328,6.17784214019775,1.82820796966553
101,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",9.99999999999998,5.3792219879707,7.94997215270996,6.17735767364502,1.77261447906494
102,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.1,5.3792219879707,7.89243793487549,6.17687320709229,1.7155647277832
103,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.2,5.3792219879707,7.83527517318726,6.17680597305298,1.65846920013428
104,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.3,5.3792219879707,7.79201459884644,6.17632150650024,1.61569309234619
105,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.4,5.3792219879707,7.74575710296631,6.1762547492981,1.56950235366821
106,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.5,5.3792219879707,7.69866752624512,6.1757698059082,1.52289772033691
107,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.6,5.3792219879707,7.64905071258545,6.17570304870605,1.47334766387939
108,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.7,5.3792219879707,7.60206413269043,6.17521858215332,1.42684555053711
109,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.8,5.3792219879707,7.5504994392395,6.17515134811401,1.37534809112549
110,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",10.9,5.3792219879707,7.48035478591919,6.17466688156128,1.30568790435791
111,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11,5.3792219879707,7.4378981590271,6.17460012435913,1.26329803466797
112,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.1,5.3792219879707,7.39884662628174,6.17411518096924,1.2247314453125
113,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.2,5.3792219879707,7.3593373298645,6.17404842376709,1.18528890609741
114,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.3,5.3792219879707,7.31661367416382,6.17356395721436,1.14304971694946
115,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.4,5.3792219879707,7.28087711334229,6.17349672317505,1.10738039016724
116,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.5,5.3792219879707,7.23227262496948,6.17301225662231,1.05926036834717
117,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.6,5.3792219879707,7.20443630218506,6.17294502258301,1.03149127960205
118,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.7,5.3792219879707,7.17627716064453,6.17246055603027,1.00381660461426
119,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.8,5.3792219879707,7.15146589279175,6.17197608947754,0.979489803314209
120,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",11.9,5.3792219879707,7.13539934158325,6.17190885543823,0.96349048614502
121,P01_LONG,longitudinal,"Long-axis profile through toe, crest and rear slope.",12,5.3792219879707,7.14365530014038,6.1714243888855,
122,P01_CROSS,transverse,Cross-axis profile through the widest section and crest,0,98.6187854441811,7.50078678131104,6.05084896087646,
